,语言能力,总量
22864,国家大学语应用能力A级，普通话标准。,1
22865,语  一般************普通话  熟练************广东话,1
22866,国家语六级证书，良好的文沟通交流能力，熟练掌握汉互译技巧，喜欢阅读各种文,1
22867,具有扎实的语听说读写译能力，口译笔译具佳，CET-6，剑桥商务语中级，日语四,1
22868,具备熟练的文听、说、读、写能力。 语专业八级， 口语八级。 ********,1
22869,普通话，勾通能力强,1
22870,汉语方面：普通话标准，流利、在写作方面有一定的功底；******文方面：能够阅,1
22871,   善于沟通，协调能力强，普通话标准，语初级。,1
22872,"     日语听说读写熟练,口语流利,普通话标准,语良好**********",1
22873,潮汕话(母语)精通************普通话精通************广东,1
22874,中文，能熟练准确的组织专业性较强的业务文档的起草、审核，善于沟通，具有较强的语言,1
22875,普通话：标准************   语：良好,1
22876,"语听.说.写能力较强,普通话标准，白话流利",1
22877,"粤语,普通话标准流利",1
22878,表达清晰，简洁，明了。,1
22879,"语言表达能力强,善于人际沟通,平易近人,亲和力强,工作期****公司领导都相",1
22880,"获得全国大学生语四级证书（CET-4）, ************具有比较好",1
22881,"普通话流利,粤语一般    ************ 语  良好   ***",1
22882,国语：熟练************语：读写,1
22883,语等级：国家A级,1
22884,汉语：精通  语：一般,1
22885,普通话标准流利;************白话能听懂，会讲一些。********,1
22886,从小我就有着与年龄不相符的成熟与远大理想，或许这些都源自于从小的我，出生在贫穷的,1
22887,"语四级,普通话标准。",1
22888,普通话标准  ,1
22889,粤语  精通    语  一般    普通话  精通************,1
22890,   z,1
22891,国语************语************粤语,1
22892,普通话：良好 ************语：同国外客户简单对话交流，专业E-ma,1
22893,　1、普通话：精通  ******　2、广东话：一般******　3、语：听：,1
22894,语言组织能力还好，性格外向擅于与人沟通！************普通话、粤语流利,1
22895,"相实无华的语言是真挚心灵的表达,是美好情感的展现.因而,语言的朴素美来自相互的",1
22896,     普通话标准   语三级水平,1
22897,计算机能力：全国计算机等级考试一级           普通话能力：全国普通话二,1
22898,相当日语二级水平,1
22899,语佳************计算机二级,1
22900,****/****至今 采购主管  深圳证通机****公司  月薪： 保密  **,1
22901,****年，先后顺利通过全国语四级和六级。************听说读写都比,1
22902,  国语 粤语 潮语 客家话,1
22903,语言技能：  大学语四级(CET4)，普通话、语良好************,1
22904,语言能力：************1。语言表达能力很强，能和别人很好的沟通。**,1
22905,商务语中等。,1
22906,具有较高的语四级水平，在听读写方面也有一定的基础。,1
22907,1、普通话流利，已取得2级甲证书************2、语熟练，能掌握基本,1
22908,求在一****公司任职有挑战性的工作；求一个有助于对我事业发展和发挥我才能的职,1
22909,     语：CET四级,1
22910,语专业八级，语专业八级口译，听说读写能力强************掌握日语基,1
22911,国语良好、语一般（仅限一般简单语句读写听）、粤语基本能听懂。,1
22912,我的语水平一般，普通话标准，具有良好的沟通表达能力,1
22913,普通话标准流利************,1
22914,"普通话标准流利，表达能力强,善于沟通",1
22915,普通话二级乙等************有较强的口头、文字组织表达能力．,1
22916,普通话标准流利，易与人沟通。,1
22917,粤语熟练，普通话流利,1
22918,  语水平一般.,1
22919,语通过四级考试（cet-4），有良好的听说读写能力。,1
22920,国家大学语六级CET-6考试，************基础日语，*******,1
22921,本人善沟通、统筹、谈判，有一定的社会洞察力及高度的责任感， 资源整合能力强，完全,1
22922,柳州话熟练，语一般。,1
22923,"吐字清晰,普通话标准",1
22924,1.语能力良好，听说读写皆能。**********年****月通过CET-6，****,1
22925,语：一般  ************普通话：标准,1
22926,   外语水平：  语——语能力A级，具有一定的听、说、读、写、译的能力。*,1
22927,"熟练掌握普通话,粤语与客家方言.************所学外语语种：语，C",1
22928,   普通话、粤语,1
22929,"大学四年的学习,我的主要专业是语************语水平:CET4,",1
22930,会语，粤语，普通话，潮汕话。,1
22931,白话、普通话,1
22932,普通话：精通  广东话：良好************语：一般，,1
22933,1)外语一般************2)精通广东话************3)精,1
22934,普通话标准。************语一般。************白话听得半,1
22935,粤语和国语是我工作的主要沟通语言.************有较强的主观能力及分,1
22936,普通话标准，获得二级乙等证书。************获得语四级证书，可与外商,1
22937,1、通过全国语四级考试，成绩为****分，具有较强的语阅读及写作能力*****,1
22938,普通话标准，能听懂粤语。************语六级，书面表达能力强。能和国,1
22939,粤语流利、普通话优秀、语一般************************较,1
22940,"    普通话水平标准,跟一般人交流沟通顺畅.",1
22941,语专业四级，大学语六级，语专业八级，普通话标准二级乙等,1
22942,"语言能力：  普通话流利, 粤语一般 ************第一外语： 语",1
22943,语能力一般，普通话标准,1
22944,普通话标准流利，语水平一般。************善于交际，沟通。,1
22945,"普通话流利,不会粤语.语水平大学语四级.",1
22946,普通话标准、流利，文熟练，精通书写口语良好。,1
22947,良好的沟通技巧，能说会道，善于聆听，理解力强，反映敏捷！,1
22948,语四级水平，可以阅读一般的语短文。************汉语普通话标准，文,1
22949,？1、通过了大学语六级考试************？2、具有较强的语口语表达,1
22950,普通话：良好  广东话：一般******语：听：良好，说：良好，读：精通，写：,1
22951, 语：   听、说、读、写能力达到国家三级水平,1
22952,"不知不觉来深圳已经快4年了,很喜欢深圳这个美丽的城市.************",1
22953,普通话标准，语通过国家四级，语读写能力强，能进行简单的语会话。,1
22954,"普通话良好,语良好.",1
22955," 熟练操作OFFLCE软件,精通计算机高级文秘商务办公软件Microsoft ",1
22956,能够讲一口流利的普通话,1
22957,****公司导购员和营业员的工资发放，协助主管进行招聘；为了提高工作效率，进行了员工,1
22958,语：CET-6级，口语标准流利，听读写翻译熟练。************普通话,1
22959,  语能力较好（四级****）************   计算机水平:能熟练使,1
22960,语通过国家四级考试;************熟练使用Word，Excel，Po,1
22961,    普通话 熟练， CET——6级，语读，听能力较强,1
22962,************    ************   新的思想和见解**,1
22963,有较强的语言表达能力，有较强的团队精神，有比较深厚的文学底蕴。,1
22964,语：听说读写能力：一般************,1
22965,？	语：   CET-4,1
22966,"语过cet6,获得****分，语口语非常流利，曾担任校园语广播电台的播音员",1
22967,语：一般******,1
22968,喜欢和人沟通交流,1
22969,客家人，普通话和粤语流利,1
22970,通过国家计算机一级Office级考试************通过Delphi 初,1
22971,普通话    熟练,1
22972,校辩论队最佳辨手************普通话国家二级,1
22973,语3级  普通话标准,1
22974,有一定和客户沟通的语言和技巧能力，敢于挑战自我，诚实守信！,1
22975,语良好，国语流利.,1
22976,能听说白话，文读写能力强。************普通话标准。,1
22977,       语言表达能力强。,1
22978,普通话/粤语，良好。************文，一般。,1
22979,阅读能力较好，语能力一般。,1
22980,大学语6级，听说读写熟练。************几乎每周都有接待外商，进行商,1
22981,  全国计算机等级考试二级C语言 ************,1
22982,    本人在图美电子期间建立保税仓库，修订并完善仓库工作流程，有效的建立与实施,1
22983,良好的语言文字表达功底，中文书写流利。,1
22984,"漢語語言組織能力較強;語流暢,並可熟練交流.************在大學四",1
22985,有良好的沟通能力，能准确表达。待人诚恳热情。,1
22986,"  CET-4, 具备较好的语听说读写能力",1
22987,会普通话.,1
22988,有较好的语听、说、读、写、翻译能力;BEC中级水平，能够进行商务交流;能看懂一,1
22989,普通话  流利************语    一般,1
22990,语： 熟练 ************普通话： 精通************,1
22991,标准的普通话，语能看懂文件进行简单的对话，会广东话,1
22992,语通过国家四级，能用阅读一般的语邮件及文资料，能与外国客人用文进行邮件往,1
22993,"还可以,人际关系比较好",1
22994,国语;语;客家话,1
22995,"语言能力： 普通话熟练,  粤语一般 ************外语： 语  ",1
22996,   良好的人际沟通理解能力，做事耐心 干脆利落，执行力强，能适应较强的工作压力,1
22997,语等级：	语六级************日语等级：	二级**********,1
22998,普通话标准，略懂广东话，语稍差，,1
22999,语四级，****分,1
23000,中文普通话标准，能听懂粤语。************文口语与写作能力较强，能与,1
23001,语听说读写能力一般，普通话标准。,1
23002,我性格开朗，待人热情、细心，善于表达，人际关系融洽。,1
23003,通过普通话测试 二级甲等,1
23004,熟练操作EXCEL，WORD等编辑软件，对C语言和SQL语言有基本的上机技能，,1
23005,语言能力：************语：CET-4************计算机,1
23006,语：   国家四级************普通话： 精通,1
23007,普通话，四川话流利,1
23008,熟练普通话和粤语，语水平一般。,1
23009,有语四级证书。考过六级最好的一次成绩是****分。较好的掌握语基础知识和语言技,1
23010,普通话听说读写熟练******语听说读写良好******粤语熟练,1
23011,外贸语水平良好，熟悉报关报检及外贸出口流程。,1
23012,语水平:  听、说、读、写能力优秀,1
23013,汉，、粤,1
23014,   语口语流利 大学语四级****分 大学语****分***********,1
23015,"语阅读力良好,写作能力一般,",1
23016,通过国家语四级考试，具有良好的听说读写能力。专业外语课程良好通过。,1
23017,     现****公司都不招聘应杰毕业生，觉得他们没有经验。我是一个敢于挑战,1
23018,语已过大学语六级，并获得外贸业务员证,1
23019,语四级水平************日语初级水平,1
23020,普通话标准，语能熟练地进行对话，语四级，粤语能进行日常对话，,1
23021,语&日语&粤语,1
23022,普通话标准，粤语能听懂一些，语基本对话还行，能看文章。,1
23023,本人善于与人沟通，针对不同对象能够随机应变，说服力较强。,1
23024,大学语四级（CET4），粤语。,1
23025,国家语四级，掌握基本的语听、说、写的技能，对于一般的语读物、外国文献的翻译,1
23026,1.良好的语言组织与沟通协调能力.************2.熟练运用语进行日,1
23027,获得语四级证书;普通话流利。,1
23028,************计算机详细技能：熟练使用Photoshop、Coredr,1
23029,普通话：精通  广东话：精通************日语：熟练听说写，*****,1
23030,普通话良好************语OK************   ,1
23031,通过了CET-4级考试.,1
23032,熟练普通话，会讲白话，会一般的语口语,1
23033,语：六级************日语：日常交际,1
23034,善于交际，沟通能力较强，普通话标准,1
23035,   普通话流利************   良好的语听、说、写能力*****,1
23036,语水平良好，普通话流利,1
23037,善于与人沟通，说服力强,1
23038,具备训练的语听说读写能力！,1
23039,本人积极主动、独立工作能力强，上进心强，有较强的实践能力和组织能力（曾开展教师评,1
23040,1 谱通话流利，具备语一定的听 说 写 读能力；善于说 沟通力强*******,1
23041,外语：具有一定的听，说，读，写能力 ************中文：具有良好的中文,1
23042,计算机  计算机国家一级，能熟练操作Windows，Word，Excel等。**,1
23043,以普通话为交流语言，文可以简单读写看和交流，能听懂白话。,1
23044,掌握语言:广东话、普通话************略懂语言：客家话、潮汕话****,1
23045,广东话、客家、国语、语,1
23046,大学期间语成绩良好，能听，说，读，写。,1
23047,普通话流利，听得懂白话,1
23048,国语、粤语精通流利  ************语能力较好，具有良好的口语基础及,1
23049,语言能力优秀,1
23050,能讲一口流利的国语与粤语,1
23051,表达能力强，善于与人沟通。,1
23052,语B 级,1
23053, 语同过了CET4，我的语听力和口语是我的强项。与人沟通交流不错。,1
23054,国家语四级************能够进行日常交际的听，说，读，写和翻译。,1
23055,语国家四级，************普通话国家二甲，************计,1
23056,沟通协调比较强，能够及时处理突发事件！,1
23057,语  四级************          普通话  标准*****,1
23058,语、粤语、海南方言,1
23059,具备计算机国家二级能力，熟悉常用的办公软件；对计算机的硬件有一定的了解*****,1
23060,国语、白话、语。,1
23061,  会一定的语听说读写，普通话叫标准！,1
23062,  普通话熟练，语一般,1
23063,较强的语言表达能力，语具备较强的听说读写能力,1
23064,国家语CET-4证书,1
23065,良好的沟通与协调能力！,1
23066,汉语   熟练    语   一般,1
23067,普通话：熟练    粤语：精通   ************语：良好（会一定的,1
23068,语六级，熟练地说写语,1
23069,语.初级水平,1
23070,善于沟通，性格开朗，,1
23071,普通话一般************语一般！,1
23072,通过国家语三级，具有一定的听、说、读、写能力，普通话标准,1
23073,语水平良好，具有一定的听.说.读.写能力，普通话标准，能熟练运用Word、Ex,1
23074,普通话：良好************粤语：良好************客家话：良,1
23075,善于沟通，具有说服能力。,1
23076,      具有一定的社会交往能力，具有优秀的组织和协调能力。 ,1
23077,"汉,",1
23078,    语言组织能力强，能听懂多种广东方言。沟通能力强。,1
23079,通过国家语四级考试，有不错的听说读写能力，,1
23080,有较强的语听、说、读、写能力，翻译能力强，语过六级,1
23081,普通话流利，对各种事都能用语言清晰的表达它的意思。,1
23082,能很好与对方沟通交流，同时具备良好的素质，遵纪守法，服从上级管理。表达力较强，思,1
23083,语通过四级考试，具备基本的听说读写,1
23084,具有一定的文读、说、写能力，能阅读一定的报纸、书刊等!,1
23085,普通话标准************日语二级以上************语一般,1
23086,熟练普通话及粤语，语能力一般。,1
23087,语通过四六级************法语一般************粤语一般,1
23088,国语，简单的语口语,1
23089,CET-4************全国大学生语竞赛二等奖***********,1
23090,普通话标准，具有一定文字组织能力。语良好，能独立与客户E-mail完成工程问题,1
23091,本人综合素质佳，能够吃苦耐劳，忠诚稳重坚守诚信正直原则，勇于挑战自我开发自身潜力,1
23092,基本的语听说读写.,1
23093, 大学语六级水平，具备熟练的听、说、读、写能力；************ 专业,1
23094,流利的普通话和粤语···,1
23095,语四级，懂白话。,1
23096,普通话流利************语************较强的阅读能力，一,1
23097,有良好的语言沟通技巧！************语一般！************,1
23098,普通话：二乙************************语：六级水平   ,1
23099,普通话标准    粤语熟练    ,1
23100,本人对电梯，发电机，空压机，冲床行车，龙门吊等自动化设备维修和管理，独立装修厂房,1
23101,************   外语——语：CET-6,1
23102,"善于沟通交流,能看懂电子应用芯片的Datasheet。",1
23103,   熟悉深圳及周边地区道路，懂得车辆修理和保养。较好的语言沟通能力；身体健康，,1
23104,大学语四级****分，可以进行简单的日常交流。,1
23105,普通话二级乙等、语三级,1
23106,语言表达能力强。语通过CET4，有一定的读、写、译能力。***********,1
23107,口語良好	,1
23108,"大学语六级，有很强的语听,说,读,写能力,能独立与客户进行业务交流,熟练运",1
23109,普通话二乙  语水平良好,1
23110,"语基础踏实,能进行简短的对话,广东话及普通话标准.",1
23111,普通话标准************粤语一般************语六级,1
23112,普通话语,1
23113,语言组织能力强  善于处理人际关系************普通话：二级甲等***,1
23114,熟悉电子商务、网络和电脑硬件的基本知识，熟练office办公软件。*******,1
23115,CET-4—****分； CET-6—****分。具备较强的语听读写能力。***,1
23116,普通话：标准    广东话：一般************语：听，良好；说，一般,1
23117,****年通过国家大学语四级考试，有较强的阅读、写作能力，及良好的听力能力。,1
23118,汉语：二乙等。************语：CET-6.,1
23119,汉语、语、韩语。,1
23120,语四级（****分）具备一定听说读写译能力！************普通话标准,1
23121,熟悉Windows ****/****/XP 操作系统平台，能熟练使用Micros,1
23122,   本人乐观向上，乐于助人，工作责任心强、认真负责，具有良好的沟通、组织能力和,1
23123,普通话：精通  广东话：一般  语：听：良好，说：一般，读：良好，写：良好，等,1
23124,善于与人沟通，性格活泼大方，普通话二级甲等水平，语4级。,1
23125," ************************  熟悉文职工作,精通Off",1
23126,"二年中文系底子,国语表达及组织能力强.************三年夜大商务语",1
23127,普通话精通，语良好,1
23128,普 通 话 水 平：************  通过国家普通话水平测试并获二级乙,1
23129,◆；具备良好的语听说读写能力；************◆:对专业语材料具有较,1
23130,中文和文,1
23131,广东话与普通话，，，,1
23132,有良好的口头表达能力,1
23133,普通话标准************语一级************能听懂白话**,1
23134,"语专业八级口语流利,曾获得全国大学生cctv语演讲比赛专业组优胜奖,同时顺",1
23135,国语.语一般************,1
23136,  一、熟悉各种材料及、用具、工具的用途及使用方法。**************,1
23137,语阅读、书写优；听说一般；************,1
23138,"语一般(三级左右),普通话一般",1
23139,普通话熟练。************语能简单的听说日常用语。,1
23140,"工作适应能力强，为人踏实勤奋好学，对工作认真负责。思想积极向上,负有集体荣誉感",1
23141,普通话程度: 熟练                        广东话程度: ,1
23142,大学语CET4************文良好，读、写流利，能熟练应用文收发,1
23143,语一般************国语流利,1
23144,粤语母语************语四级************日语一级****,1
23145,普通话标准************语高中水平************广东话能听,1
23146,语言能力：普通话，广东话，语流利。（语：CET—6级）语日常口语流利，听读,1
23147,荣获CET-4，CET-6，BET-1,1
23148,专业基础扎实，有较好的语听说读写能力，勤奋刻苦，成绩优秀。熟悉外贸语、外贸函,1
23149,语六级总分****分，能够与国外友人进行日常会话；普通话流利，获得国家普通话等级,1
23150,国家计算机C语言二级证************计算机网络基础，VB NET，JA,1
23151,具备基本的语听说读写能力。普通话流利。,1
23152,《(P*试》，熟悉客家话，闽南语，国语。懂得广东话。,1
23153,普通话流利，能听懂粤语！文水平一般！,1
23154,简单的语沟通************交际语,1
23155,普通话:熟练************粤语:熟练************语:一般,1
23156,"  本人语言能力校强,不论学各地语言还是外语都比较快,发音也很标准.*****",1
23157,语：良好，大学语六级,1
23158,我的普通话标准，善于与人沟通，打破沉默。,1
23159,沟通能力强，能与人和睦相处，在过去的工作中都的到了同事领导的一致好评！,1
23160,会四种语言,1
23161,"本人普通话非常标准,粤语一般.语一般.",1
23162,1) ****年3月 参加深圳开发科****公司内部ERP系统培训；****,1
23163,语    良好   普通话  标准    粤语    一般,1
23164,获得 国家计算机二级证书************获得 普通话二级甲证书*****,1
23165,普通话流利，标准。语一般,1
23166,普通话和粤语流利，语一般。,1
23167,    语A级，计算机二级,1
23168,普通话标准，会基本的白话~,1
23169,全国高校语3级,1
23170,    普通话：优秀    粤语： 良好,1
23171,1.熟悉office办公软件************************2,1
23172,  语考试CET-4************ 计算机二级 ,1
23173,普通话 精通；************粤语   精通；************,1
23174,由于本人不起说话，性格内向，语言表达能力不是太强，经过两年多的工地现场实践磨练，,1
23175,"我是个性格随和的人,能很快的融入到新的群里中.在一些突发的情况下,能很好的处理",1
23176,文一般，简单对话。中文的写作能****公司里，对外的财务文书（如：对税务的公,1
23177,通过了准也语四级TEM4和大学语六级CET6,1
23178,语4级，文听、说、读、写良好。************普通话良好。,1
23179,语国家四、六级，具备较好听、说、读、写能力******************,1
23180,普通话流利，语口语良好,1
23181,语水平：一般************普通话：标准************粤语：,1
23182,尊敬的领导************　　您好************　　感谢您从百,1
23183,语四级************普通话标准。,1
23184,普通话：良好   粤语：良好,1
23185,掌握了较强的文字功底，曾多次在报纸刊物上发表过文章；,1
23186,潮州话熟练，普通话熟练，粤语一般，语一般。,1
23187,普通话   优良************语     CET-3.4,1
23188,  CET-6************************  Good co,1
23189,  普通话熟练，能准确地书写，能流利地进行听、说交流************  ,1
23190,语，一般，努力学习中,1
23191,普通话标准，会说流利的粤语。,1
23192,语：大学语A级（3级）************普通话：二甲,1
23193,  普通话良好，会简单的语交流，能阅读文文献,1
23194,普通话标准，能够与人很好的相处，沟通能力强。,1
23195,1.	Excellent written and spoken English ,1
23196,  已经通过CET4，语口语流利。,1
23197,汉语，语（一般）！,1
23198,在谈吐中诸位看着办吧···,1
23199,语：良好，能看懂简单的文信件,1
23200,   会简单听，说，写,1
23201,"语 ：TEM8,BEC高级************************普",1
23202,语：六级************粤语：一般************普通话：良好,1
23203,专业语4级证书&专业语8级证书 ******能流利的用语与外国客户面对面及,1
23204,  .,1
23205,1 具有处事不惊的应变能力、挫折打击的承受能力、情绪自我控制能力、永不言败的良好,1
23206,计算机二极，语三级（优级）,1
23207,"语4级,能熟练的用语和客户进行书面和口语沟通.",1
23208,语一般 普通话流利 ,1
23209,"本人沟通能力强,对工作认真负责.",1
23210,"普通话孰练、沟通能力强,  外语能力一般",1
23211,有良好的语言沟通能力，普通话标准；有一定的语听说读写能力，能读懂相关专业类的文,1
23212,     考过语四级,1
23213,语良好CET6（****）************国语精通，粤语精通 *****,1
23214,CET--4,1
23215,普通话熟练、语良好、粤语一般,1
23216,能用语熟练日常对话。,1
23217,语一般、普通话良好,1
23218,良好;沟通能力强；,1
23219,"普通话标准,有良好的语言表达能力,善于与人沟通",1
23220,   其实我不敢说我的语言表达能力如何，但是我敢肯定自己不会很差。我想每一个从事,1
23221,    语良好！,1
23222,CET-6 能熟练使用语,1
23223,具有较强的表达能力，善于表达，嘴是我最值骄傲的地方。在初中的时候在市里面曾获过演,1
23224,文能力一般************日语能力一般,1
23225,大学语四级水平************ ,1
23226,"语六级,听说读写流利.,普通话流利,善于与人沟通交流,细心.",1
23227,语言：普通话，粤语，语，基础日语，客家话。,1
23228,普通话流利  外语略懂一点,1
23229,   国语、粤语、,1
23230,语言表达能力较强，与人沟通能力强,1
23231,普通话标准，流利。************文四级以上，听、说良好。阅读熟练。,1
23232,语能力：CET-4，目前正报考BEC-2,1
23233,语   良好************日语   一般,1
23234,语 已过四六级和专业四级************计算机 已过2级 能熟练操作,1
23235,语达到国家四级水平，四级成绩****分；具有基本的语听说、阅读能力******,1
23236,流利普通话、粤语、语，简单日常日语,1
23237,国语水平：良好  粤语水平：良好 ,1
23238,CET-6************良好的文口语、听力及阅读能力，与两位美籍设计,1
23239, 普通话 山东话 俄语 语,1
23240,普通话标准流利；语过六级，有良好的听说读写能力；能听懂些粤语,1
23241,普通话标准************粤语流利************会语,1
23242,我不是最好，但我会静静的倾听客户说话，走客户说话和眼神，他的家庭住址与小孩中来了,1
23243,中文：一般；能够流利的表达意愿************语：全国四级，可熟练进行,1
23244,"语水平CET-4,取得证书************************普",1
23245,精通语 专业八级（良好）************日语略懂（第二外语）*****,1
23246,"普通话熟练标准,能看懂简单的日常文资料,能听懂广东话",1
23247,普通话表达清楚,1
23248,懂点语(常用短语),1
23249,"大学语四级,普通话标准,白话能听不会讲.",1
23250,普通话标准  参加全国普通话等级考试  获二级乙等（****分）**********,1
23251,优秀的语口头、书面表达能力，能进行日常的口头交流和书面工作，已获得全国公共语,1
23252,标准普通话，熟练粤语及语（雅思5分）,1
23253,我是语专业毕业，获得了语专业八级证书，而且我还拿到了语专业四级的口语证书。,1
23254,   中文普通话,1
23255,母语：粤语　************国语：精通　************语：一,1
23256,外语语种： 语  ************掌握程度： 一般    ******,1
23257,语水平	CET4,1
23258,语：精通,1
23259,普通话标准，熟练简单的日常语,1
23260,本人有较强的语言及文字表达能力,1
23261,普通話/白話/客家話精通,1
23262,                        语：良好***********,1
23263,普通话：流利   粤语：良好******语水平：日常商务邮件处理自如，听说能力,1
23264,CET4. ************熟练的语口语交流使自己在新加坡能顺利的学习,1
23265,语听说读写能力强，语口语熟练，较强语翻译及写作能力************,1
23266,语已过专业四级，专业八级，口语流利，语音标准，语交际能力强*********,1
23267,已通过大学语考试，有一定的听、说、写能力；************,1
23268,标准的普通话************简单的语,1
23269,外语水平良好************普通话流利,1
23270,普通话-精通；粤语-精通；语-一般。,1
23271,语相当于CET-6级水平，不过遗憾的是我考试了一次没过。口语一般。,1
23272,普通话标准，无口吃，,1
23273,语言表达能力清楚，可以与人进行沟通和交流。,1
23274,流利普通话 、熟练文读写,1
23275,已经通过大学语等级考试6级。普通话达到二乙水平,1
23276,主修专业：************计算机应用，C 语言， 数据结构， SQL数据,1
23277,"计算机C语言国家二级,语三级!",1
23278,精通粵語和國語。,1
23279,普通话标准，表达事务的能力较强。,1
23280,语四级通过，听，说，读能力具备;粤语能听懂,1
23281,己通过剑桥商务语证书2级 BEC2    ************己通过全国国,1
23282,汉语: 精通************粤语: 良好************语: ,1
23283,沟通能力强，语言表达能力好，善于和人相处。,1
23284,本人普通话为主，来自河南，,1
23285,本人性格外向，表达能力强，普通话标准，吐字清晰，文字书写能力强,1
23286,普通话良好，能够熟练阅读语文档。************,1
23287,语，读写能力良好；听说能力良好！  普通话熟练,1
23288,普通话：精通************粤 语 ：精通,1
23289,"语已通过国家语四级(CET-4):****,基础知识扎实,具备一定的听、说、",1
23290,普通话二乙   语水平比较差,1
23291,流利的普通话。语水平一般。,1
23292,通过大学语4级，日常口语流利************************并,1
23293,     国语、粤语流利，外语水平良好。,1
23294,本人粤话标准，普通话话良好，语一般。,1
23295,语水平良好（二级）,1
23296,与人沟通能力良好，能够清晰准确的表达自己的观点想法。,1
23297,计算机能力：熟练。语言水平： 流利的 普通话、粤语************熟练掌,1
23298,语4级水平！,1
23299,熟悉中文******文一般,1
23300,1、普通话标准。************2、会粤语，听说能力经常自我锻炼。***,1
23301,语读写能力较好，语口语一般。******,1
23302,熟练语言：普通话、粤语************************,1
23303,语4级，很强的表达能力************普通话等级，2乙，****分,1
23304,母语流利************语一般************,1
23305,普通话流利；语、粤语一般。,1
23306,擅长商务语，语写作和语口语水平好，****年通过全国国际商务语水平（一级,1
23307,  能清楚地****公司和产品给客户，让客户更容易了解我们,1
23308,本人交际能力非常好 ，与上级领导同事的关系非常融洽，普通话标准，会一般的语听说,1
23309,主修外语: 语 <三级>************    选修: 日语  **,1
23310,懂基本的语.,1
23311,语四级************普通话熟练************,1
23312,思维缜密，执行力强。,1
23313,语已过ＣＥＴ－６普通话二级甲等 日语初级,1
23314,"本人上进心强,有团队合作精神,喜欢挑战自己!************",1
23315,拿到了语四级证书，可以运用语进行一般的书写和交流,1
23316,普通话 熟练************语 6级 ,1
23317,语六级，普通话一级乙等,1
23318,  中文写作表达受过专业训练，语言表达条理清晰流畅，善与人交流沟通*******,1
23319,语 一般 三级************普通话 标准  二乙  ********,1
23320,语言是人与人交流的工具，标准流利的普通话提高了字里行间的理解能力，熟悉的计算机专,1
23321,有较强的语言组织能力和表达能力，在语口语方面有比较优秀的表现，能很好地进行语,1
23322,国语：良好        语：一般,1
23323,在校已经通过语四级考试 口语比较熟练************口头表达能力强，能,1
23324,具有较强的沟通能力。,1
23325,普通话标准，语B级。,1
23326,国语精通，语一般,1
23327,全国计算机等级考试二级******语语言良好。 ******,1
23328,在平安受过系统训练,1
23329,语。三级。熟练读、听、写,1
23330,国语、语、粤语,1
23331,"普通话标准,语水平良好,",1
23332,精通普通话，粤语，客家话，语3级。,1
23333,****年6月通过国家大学语四级考试，****年****月通过国家大学语六级考试,1
23334,   本人CET4通过了，成绩及格，听写能力良好，能与外国友人进行基本的交流。由,1
23335,有一定的口头表达能力和沟通能力.,1
23336,"多年的平面设计及企业策划部门工作经验,有创造力,对时尚及色彩具有敏锐的洞察力,",1
23337, 能广东话、文简单交流,1
23338,语过了三级，并有证书，普通话良好，交流能力良好！,1
23339,  性格开朗，阳光。虽不是出口成文，脱口而出的人才但也是有知识和内涵的喜欢挑战的,1
23340,能熟练使用普通话与人沟通,1
23341,"精通语,熟练应用西班牙语,有日语基础,精通普通话,广东话,客家话.",1
23342,1、普通话熟练************2、基本的语听说读写能熟练的表达出来**,1
23343,  本人语言能力国语,1
23344,很容易和人沟通，普通话标准,1
23345,懂粤语，普通话，听说能力好！,1
23346,普通话比较流利************粤语良好************语一般,1
23347,我个人以“理性开展、始于用心、成于服务”的理念，以“促进中外企业经济文化及技术交,1
23348,外语水平	：************   ****. 1 通过CET－4级考试*,1
23349,能熟练操作电脑。************熟悉办公软件。金蝶等等。********,1
23350,外语水品一般,1
23351,已过CET-6,1
23352,1：普通话流利，思维缜密，严谨************1：语CET-4，良好的,1
23353,普通话熟练************语一般************粤语一般***,1
23354,第一外语：语  等级：四级************第二外语：日语  水平：一般,1
23355, 语国家四级水平，有较好的听说读写译能力。******************,1
23356,普通话：精通  广东话：精通************语：听：一般，说：精通，读,1
23357,语四级，国语熟练，粤语流利,1
23358,"语水平一般,普通话三级甲等",1
23359,通过大学语6级，专业语4级的考试。******口语表达良好，多次担任现场翻译,1
23360,日语:二级************,1
23361,  1.普通话：精通******  2.语：通过CET-6考试，能够熟练地进行,1
23362,熟练，精通！,1
23363,普通话流利，语有良好的听说读写能力,1
23364,普通话：精通  广东话：基本能听************语：听：一般，说：一般,1
23365,有一定的听写能力,1
23366,语口语会话 良好,1
23367,语中等水平,1
23368,大学中过了大学语四级,1
23369,专业语八级、大学语六级，普通话水平测试二级乙等，普通话，粤语流利； 全国计算,1
23370,普通话  精通************语  良好************粤语 ,1
23371,普通话:标准************************粤语:良好*****,1
23372,语水平：CET4（****）听说和阅读书写能力良好，正在自学商务应用语。,1
23373,   本人普通话及粤语均熟练，有一定的语基础。,1
23374,语（熟练） ************,1
23375,会客家话，长沙话，普通话二级，语三级,1
23376,普通话和粤语讲得流利。,1
23377,本人工作认真、热忱，责任心强，创新意识好，自信、乐观、诚恳、稳重，具有团队意识、,1
23378,"普通话标准,语一般.有牌会开车.",1
23379,语四级、普通话标准流利,1
23380,语：CET-3************普通话：流利,1
